nsub,cluster,ngenes,gene,nsnp,nsnpeff,effsize,condition,power,nsnpeffplot,nsnpfac
100,0,1,1,20,0,0.1,0,0.04,-0.01,20
100,0,1,1,20,0,0.2,0,0.03,-0.01,20
100,0,1,1,20,0,0.4,0,0.02,-0.01,20
100,0,1,1,20,5,0.1,0,0.14,4.99,20
100,0,1,1,20,5,0.2,0,0.92,4.99,20
100,0,1,1,20,5,0.4,0,1,4.99,20
100,0,1,1,20,10,0.1,0,0.23,9.99,20
100,0,1,1,20,10,0.2,0,1,9.99,20
100,0,1,1,20,10,0.4,0,1,9.99,20
100,0,1,1,40,0,0.1,0,0.11,-0.01,40
100,0,1,1,40,0,0.2,0,0.05,-0.01,40
100,0,1,1,40,0,0.4,0,0.07,-0.01,40
100,0,1,1,40,5,0.1,0,0.13,4.99,40
100,0,1,1,40,5,0.2,0,0.79,4.99,40
100,0,1,1,40,5,0.4,0,1,4.99,40
100,0,1,1,40,10,0.1,0,0.17,9.99,40
100,0,1,1,40,10,0.2,0,1,9.99,40
100,0,1,1,40,10,0.4,0,1,9.99,40
500,0,1,1,20,0,0.1,0,0.06,-0.01,20
500,0,1,1,20,0,0.2,0,0.03,-0.01,20
500,0,1,1,20,0,0.4,0,0.06,-0.01,20
500,0,1,1,20,5,0.1,0,0.93,4.99,20
500,0,1,1,20,5,0.2,0,1,4.99,20
500,0,1,1,20,5,0.4,0,1,4.99,20
500,0,1,1,20,10,0.1,0,0.99,9.99,20
500,0,1,1,20,10,0.2,0,1,9.99,20
500,0,1,1,20,10,0.4,0,1,9.99,20
500,0,1,1,40,0,0.1,0,0.04,-0.01,40
500,0,1,1,40,0,0.2,0,0.04,-0.01,40
500,0,1,1,40,0,0.4,0,0.09,-0.01,40
500,0,1,1,40,5,0.1,0,0.91,4.99,40
500,0,1,1,40,5,0.2,0,1,4.99,40
500,0,1,1,40,5,0.4,0,1,4.99,40
500,0,1,1,40,10,0.1,0,1,9.99,40
500,0,1,1,40,10,0.2,0,1,9.99,40
500,0,1,1,40,10,0.4,0,1,9.99,40
